study_id,task,label,probability,model,is_multilabel
305,Condition,Psychiatric condition,1.0,manual_annotation,True
305,Condition,Depression,1.0,manual_annotation,True
777,Condition,Psychiatric condition,1.0,manual_annotation,True
777,Condition,Depression,1.0,manual_annotation,True
1240,Condition,Psychiatric condition,1.0,manual_annotation,True
1240,Condition,Depression,1.0,manual_annotation,True
1385,Condition,Recreational Drug Use,1.0,manual_annotation,True
1385,Condition,Healthy Participants,1.0,manual_annotation,True
1441,Condition,Psychiatric condition,1.0,manual_annotation,True
1441,Condition,Depression,1.0,manual_annotation,True
1692,Condition,Recreational Drug Use,1.0,manual_annotation,True
1692,Condition,Healthy Participants,1.0,manual_annotation,True
2232,Condition,Psychiatric condition,1.0,manual_annotation,True
2232,Condition,Depression,1.0,manual_annotation,True
2465,Condition,Recreational Drug Use,1.0,manual_annotation,True
2465,Condition,Healthy Participants,1.0,manual_annotation,True
2483,Condition,Healthy Participants,1.0,manual_annotation,True
2737,Condition,Substance abuse,1.0,manual_annotation,True
2783,Condition,Healthy Participants,1.0,manual_annotation,True
2832,Condition,Recreational Drug Use,1.0,manual_annotation,True
2832,Condition,Healthy Participants,1.0,manual_annotation,True
3104,Condition,Healthy Participants,1.0,manual_annotation,True
3371,Condition,Healthy Participants,1.0,manual_annotation,True
3537,Condition,Psychiatric condition,1.0,manual_annotation,True
3537,Condition,Depression,1.0,manual_annotation,True
3598,Condition,Psychiatric condition,1.0,manual_annotation,True
3598,Condition,Depression,1.0,manual_annotation,True
3598,Condition,Anxiety,1.0,manual_annotation,True
3820,Condition,Psychiatric condition,1.0,manual_annotation,True
3820,Condition,Depression,1.0,manual_annotation,True
3820,Condition,Anxiety,1.0,manual_annotation,True
4916,Condition,Psychiatric condition,1.0,manual_annotation,True
4916,Condition,Depression,1.0,manual_annotation,True
5020,Condition,(Chronic) Pain,1.0,manual_annotation,True
5276,Condition,Healthy Participants,1.0,manual_annotation,True
5380,Condition,Recreational Drug Use,1.0,manual_annotation,True
5380,Condition,Healthy Participants,1.0,manual_annotation,True
5705,Condition,Psychiatric condition,1.0,manual_annotation,True
5705,Condition,Depression,1.0,manual_annotation,True
