Substance,Dosage_mg,Unit,Study_ID,Dose_Type,Norm_Text
Ketamine,35.0,mg,777,relative_weight,0.5 mg/kg
S-Ketamine,84.0,mg,1240,absolute,84 mg
Ketamine,35.0,mg,1441,relative_weight,0.5 mg/kg
Ketamine,14.0,mg,1441,relative_weight,0.2 mg/kg
Ketamine,35.0,mg,2232,relative_weight,0.5 mg/kg
Ketamine,25.0,mg,3371,absolute,25 mg
Ketamine,10.0,mg,3371,absolute,10 mg
Ketamine,35.0,mg,3820,relative_weight,0.5 mg/kg
Ketamine,35.0,mg,4916,relative_weight,0.5 mg/kg
Ketamine,35.0,mg,5020,relative_weight,0.5 mg/kg
Ketamine,17.5,mg,5020,relative_weight,0.25 mg/kg
S-Ketamine,84.0,mg,5968,absolute,84 mg
MDMA,62.5,mg,6000,absolute,62.5 mg
MDMA,125.0,mg,6000,absolute,125 mg
Psilocybin,30.0,mg,6044,relative_weight,30 mg/70 kg
MDMA,80.0,mg,6103,absolute,80 mg-180
MDMA,180.0,mg,6103,absolute,80 mg-180
MDMA,40.0,mg,6103,absolute,40 or 60 mg
MDMA,60.0,mg,6103,absolute,40 or 60 mg
MDMA,120.0,mg,6103,absolute,120 mg
MDMA,80.0,mg,6103,absolute,80 mg
Ketamine,90.0,mg,6221,absolute,90 mg
Ketamine,70.0,mg,8606,relative_weight,1 mg/kg
DMT,42.0,mg,8889,relative_time,0.6 or 1 mg/min
DMT,70.0,mg,8889,relative_time,0.6 or 1 mg/min
DMT,25.0,mg,8889,absolute,25 mg
DMT,15.0,mg,8889,absolute,15 mg
DMT,70.0,mg,8889,relative_time,1 mg/min
DMT,42.0,mg,8889,relative_time,0.6 mg/min
Psilocybin,25.0,mg,56,absolute,25 mg
S-Ketamine,10.0,mg,128,absolute,10 mg
MDMA,225.0,mg,159,absolute,225 mg
MDMA,175.0,mg,159,absolute,175 mg
MDMA,125.0,mg,159,absolute,125 mg
MDMA,75.0,mg,159,absolute,75 mg
MDMA,105.0,mg,790,relative_weight,1.5 mg/kg
MDMA,125.0,mg,790,absolute,125 mg
MDMA,52.5,mg,790,relative_weight,0.75 mg/kg
Psilocybin,10.0,mg,1254,relative_weight,"10, 20, 30 mg/70 kg"
Psilocybin,30.0,mg,1254,relative_weight,"10, 20, 30 mg/70 kg"
MDMA,75.0,mg,1829,absolute,75-125 mg
MDMA,125.0,mg,1829,absolute,75-125 mg
LSD,0.026,mg,1958,absolute,26 μg
LSD,0.013,mg,1958,absolute,13 μg
LSD,0.013,mg,1958,absolute,13 or 26 μg
LSD,0.026,mg,1958,absolute,13 or 26 μg
S-Ketamine,56.0,mg,2422,absolute,56 mg or 84 mg
S-Ketamine,84.0,mg,2422,absolute,56 mg or 84 mg
LSD,0.02,mg,2482,absolute,20 μg
LSD,0.01,mg,2482,absolute,10 μg
LSD,0.005,mg,2482,absolute,5 μg
Ketamine,35.0,mg,2556,relative_weight,0.5 mg/kg
S-Ketamine,0.7000000000000001,mg,3354,relative_weight_time,0.01 mg/kg/h
S-Ketamine,35.0,mg,3354,relative_weight,0.5 mg/kg
MDMA,100.0,mg,3533,absolute,100 mg
Psilocybin,15.0,mg,3631,absolute,"15, 25, and 30 mg"
Psilocybin,30.0,mg,3631,absolute,"15, 25, and 30 mg"
LSD,0.02,mg,3765,absolute,20 µg
LSD,0.01,mg,3765,absolute,10 µg
LSD,0.005,mg,3765,absolute,5 µg
LSD,0.005,mg,3765,absolute,"5, 10 and 20 µg"
LSD,0.02,mg,3765,absolute,"5, 10 and 20 µg"
LSD,0.02,mg,3765,absolute,20 µg=8
LSD,0.008,mg,3765,absolute,20 µg=8
LSD,0.01,mg,3765,absolute,10 µg=
LSD,0.005,mg,3765,absolute,5 µg=10
LSD,0.01,mg,3765,absolute,5 µg=10
LSD,0.005,mg,3765,absolute,"5, 10, and 20 µg"
LSD,0.02,mg,3765,absolute,"5, 10, and 20 µg"
LSD,0.0,mg,3765,absolute,"0, 5, 10, and 20 µg"
LSD,0.02,mg,3765,absolute,"0, 5, 10, and 20 µg"
S-Ketamine,35.0,mg,4410,relative_weight,0.5 mg/kg
Ketamine,35.0,mg,4732,relative_weight,0.5 mg/kg
