Substance,Dosage_mg,Unit,Study_ID,Dose_Type,Norm_Text
LSD,0.005,mg,3638,absolute,"5, 10, and 20 µg"
LSD,0.02,mg,3638,absolute,"5, 10, and 20 µg"
LSD,0.005,mg,3638,absolute,5 µg
LSD,0.01,mg,3638,absolute,10 µg
LSD,0.02,mg,3638,absolute,20 µg
LSD,0.005,mg,3638,absolute,5-20 µg
LSD,0.02,mg,3638,absolute,5-20 µg
Ketamine,18.2,mg,1961,relative_weight,0.26 mg/kg
Ketamine,17.5,mg,1961,relative_weight_time,0.25 mg/kg/h
Ketamine,35.0,mg,6361,relative_weight,0.5 mg/kg
Psilocybin,20.0,mg,1866,relative_weight,20 mg/70 kg
Psilocybin,30.0,mg,1866,relative_weight,30 mg/70 kg
Psilocybin,30.0,mg,6295,absolute,30 mg
Psilocybin,1.0,mg,6295,absolute,1 mg
Ketamine,70.0,mg,153,relative_weight,1 mg/kg
Ketamine,7.0,mg,1364,relative_weight,0.1-0.5 mg/kg
Ketamine,35.0,mg,1364,relative_weight,0.1-0.5 mg/kg
S-Ketamine,7.0,mg,1364,relative_weight,0.1-0.5 mg/kg
S-Ketamine,35.0,mg,1364,relative_weight,0.1-0.5 mg/kg
Ketamine,35.0,mg,1364,relative_weight,0.5–1 mg/kg
S-Ketamine,35.0,mg,1364,relative_weight,0.5–1 mg/kg
Psilocybin,25.0,mg,3492,absolute,25 mg
Ibogaine,80.0,mg,2912,absolute,80 mg
Ibogaine,10.0,mg,2912,absolute,"10, 20, 30, or 40 mg"
Ibogaine,40.0,mg,2912,absolute,"10, 20, 30, or 40 mg"
Ibogaine,670.0,mg,2912,absolute,670 mg
Ibogaine,653.0,mg,2912,absolute,653 mg
Ibogaine,640.0,mg,2912,absolute,640‐670 mg
Ibogaine,670.0,mg,2912,absolute,640‐670 mg
Ketamine,35.0,mg,6362,relative_weight,0.5 mg/kg
Ketamine,35.0,mg,8836,relative_weight,0.5 mg/kg
Ketamine,35.0,mg,2605,relative_weight,0.5 mg/kg
Ketamine,35.0,mg,2207,relative_weight,0.5 mg/kg
Ketamine,18.2,mg,4574,relative_weight,0.26 mg/kg
Ketamine,45.5,mg,4574,relative_weight_time,0.65 mg/kg/h
DMT,60.0,mg,6268,absolute,60 mg
DMT,1.0,mg,6268,absolute,1 mg
Ketamine,35.0,mg,5598,relative_weight,0.5-1.25 mg/kg
Ketamine,87.5,mg,5598,relative_weight,0.5-1.25 mg/kg
R-Ketamine,35.0,mg,5598,relative_weight,0.5-1.25 mg/kg
R-Ketamine,87.5,mg,5598,relative_weight,0.5-1.25 mg/kg
S-Ketamine,35.0,mg,5598,relative_weight,0.5-1.25 mg/kg
