ner_tag_id,study_id,tag,start_id,end_id,text,probability,model,norm_text,min,max,unit,per_weight_unit,weight_reference,per_time_unit,dose_type
1,3638,Dosage,404,420,"5, 10, and 20 µg",1.0,manual_annotation,"5, 10, and 20 µg",5.0,20.0,µg,,,,absolute
2,3638,Dosage,1002,1019,"5, 10, and 20 µg ",1.0,manual_annotation,"5, 10, and 20 µg",5.0,20.0,µg,,,,absolute
3,3638,Dosage,1166,1171,5 µg ,1.0,manual_annotation,5 µg,5.0,5.0,µg,,,,absolute
4,3638,Dosage,1237,1243,10 µg ,1.0,manual_annotation,10 µg,10.0,10.0,µg,,,,absolute
5,3638,Dosage,1408,1414,10 µg ,1.0,manual_annotation,10 µg,10.0,10.0,µg,,,,absolute
6,3638,Dosage,1483,1489,20 µg ,1.0,manual_annotation,20 µg,20.0,20.0,µg,,,,absolute
7,3638,Dosage,1672,1680,5-20 µg ,1.0,manual_annotation,5-20 µg,5.0,20.0,µg,,,,absolute
8,3638,Dosage,1783,1788,10 µg,1.0,manual_annotation,10 µg,10.0,10.0,µg,,,,absolute
9,1961,Dosage,1294,1304,0.26 mg/kg,1.0,manual_annotation,0.26 mg/kg,0.26,0.26,mg,kg,1.0,,relative_weight
10,1961,Dosage,1344,1357,0.25 mg/kg/h ,1.0,manual_annotation,0.25 mg/kg/h,0.25,0.25,mg,kg,1.0,h,relative_weight_time
11,6361,Application area,44,83,"treatment-resistant major depression.^
",1.0,manual_annotation,,,,,,,,
12,6361,Application area,184,230,treatment-resistant major depressive disorder ,1.0,manual_annotation,,,,,,,,
13,6361,Application area,231,234,MDD,1.0,manual_annotation,,,,,,,,
14,6361,Application area,240,258,bipolar depression,1.0,manual_annotation,,,,,,,,
15,6361,Dosage,702,711,0.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
16,1866,Application area,42,67,Major Depressive Disorder,1.0,manual_annotation,,,,,,,,
17,1866,Application area,111,137,Major depressive disorder ,1.0,manual_annotation,,,,,,,,
18,1866,Application area,138,141,MDD,1.0,manual_annotation,,,,,,,,
19,1866,Application area,415,445,treatment-resistant depression,1.0,manual_annotation,,,,,,,,
20,1866,Dosage,1469,1480,20 mg/70 kg,1.0,manual_annotation,20 mg/70 kg,20.0,20.0,mg,kg,70.0,,relative_weight
21,1866,Dosage,1493,1504,30 mg/70 kg,1.0,manual_annotation,30 mg/70 kg,30.0,30.0,mg,kg,70.0,,relative_weight
22,6295,Application area,54,76,"Opioid Use Disorder.^
",1.0,manual_annotation,,,,,,,,
23,6295,Dosage,180,185,30 mg,1.0,manual_annotation,30 mg,30.0,30.0,mg,,,,absolute
24,6295,Dosage,232,236,1 mg,1.0,manual_annotation,1 mg,1.0,1.0,mg,,,,absolute
25,6295,Application area,411,415,OUD ,1.0,manual_annotation,,,,,,,,
26,6295,Dosage,1376,1380,1 mg,1.0,manual_annotation,1 mg,1.0,1.0,mg,,,,absolute
27,6295,Dosage,1400,1404,30mg,1.0,manual_annotation,30 mg,30.0,30.0,mg,,,,absolute
28,153,Application area,78,109,Post-Traumatic Stress Disorder ,1.0,manual_annotation,,,,,,,,
29,153,Application area,117,125,"PTSD).^
",1.0,manual_annotation,,,,,,,,
30,153,Application area,354,385,post‐traumatic stress disorder ,1.0,manual_annotation,,,,,,,,
31,153,Application area,386,390,PTSD,1.0,manual_annotation,,,,,,,,
32,153,Dosage,808,816,1 mg/kg ,1.0,manual_annotation,1 mg/kg,1.0,1.0,mg,kg,1.0,,relative_weight
33,153,Dosage,1127,1135,1 mg/kg ,1.0,manual_annotation,1 mg/kg,1.0,1.0,mg,kg,1.0,,relative_weight
34,153,Dosage,1368,1376,1 mg/kg ,1.0,manual_annotation,1 mg/kg,1.0,1.0,mg,kg,1.0,,relative_weight
35,8470,Application area,136,169,"treatment resistant depression.^
",1.0,manual_annotation,,,,,,,,
36,8470,Application area,686,717,treatment resistant depression ,1.0,manual_annotation,,,,,,,,
37,6450,Application area,66,85,"bipolar disorder.^
",1.0,manual_annotation,,,,,,,,
