study_id,pubmed_id
6152,
8321,37258715.0
1264,33852780.0
7738,
3640,31733631.0
698,36342343.0
7739,25575620.0
3637,35217796.0
4967,
3639,33059356.0
2105,
2107,28197931.0
3632,34515824.0
3633,34570244.0
3638,32975835.0
3634,30883864.0
6131,
4956,27714429.0
2480,35253516.0
4961,
6157,
3630,34326773.0
8312,26849997.0
4905,34739739.0
6084,
5737,38042914.0
2481,
801,31331617.0
2101,28548305.0
3635,37596682.0
7743,28918441.0
4785,27151536.0
5853,28375205.0
7740,33853422.0
4893,37231080.0
1959,35106880.0
8372,32763021.0
2106,27249781.0
6045,
1958,
5735,
6189,
793,
7165,32842825.0
794,
2482,31853557.0
6278,
2886,24594678.0
5905,34613430.0
3636,36266118.0
6013,
4428,
6281,
6096,
6136,
2104,
7054,30355445.0
943,8788508.0
1272,26847689.0
6287,
6228,
6965,
7057,
2103,26108222.0
8869,28443695.0
9369,30478716.0
8268,27422082.0
9370,
3765,
8248,27342447.0
8878,34035391.0
3770,33082016.0
4957,11314678.0
3766,
1531,19671244.0
5899,36997080.0
800,32033922.0
6026,
2988,36284231.0
2508,15071716.0
5697,29728331.0
6121,
3771,33860175.0
6809,23142957.0
6158,
6225,
6103,
989,
4451,18626271.0
5366,
1992,
4966,10989266.0
3172,
4971,12404538.0
3389,12172693.0
4970,10871712.0
8455,17047932.0
4355,24633447.0
6250,
8868,
8345,33781103.0
2516,26073279.0
1866,33146667.0
2507,17890444.0
6197,
6203,
4358,21713605.0
6027,
7156,37651119.0
7309,12474114.0
6028,
6034,
6029,
6021,
4969,11106307.0
6015,
8454,14563541.0
4955,
3784,21677639.0
4954,10731626.0
1917,10671903.0
5593,
1216,10917407.0
6016,
8902,9718588.0
6004,
799,28432376.0
2404,
1383,30478103.0
3533,11752122.0
791,
6003,
4359,24448644.0
6000,
7745,25655950.0
6035,
6041,
6040,
5698,20643699.0
6494,23118021.0
6023,
716,20947066.0
6602,11720096.0
6581,30371148.0
131,
6060,
6043,
9392,
5695,31065731.0
5688,33972795.0
699,28232170.0
5689,37404971.0
8711,
1829,30196397.0
6170,
9257,33235285.0
2669,31808268.0
6176,
6047,
7002,34114250.0
4023,32500209.0
3799,33345689.0
8114,34708874.0
6057,
3178,21674151.0
3928,
8344,20855349.0
7463,
8808,
6134,
4968,
6344,29945469.0
956,32538252.0
9436,34619818.0
3176,27909165.0
7521,
3179,16826400.0
165,
6241,
3180,
6195,
2389,
3174,18593735.0
697,34743319.0
6475,36332827.0
1267,27210031.0
3192,
5872,35076721.0
1749,
4823,34519567.0
6120,
6011,
163,
8555,29101022.0
3240,35166158.0
4509,
917,36001306.0
3238,
912,25586396.0
6010,
7786,10638409.0
7726,33184743.0
161,
6296,
3580,33663259.0
8089,36938991.0
143,
151,
7192,22817868.0
1266,29119217.0
4658,36386973.0
3059,36322843.0
1263,
8795,
203,31916890.0
3060,36740140.0
146,
56,
2406,
7484,27909164.0
5595,
6163,
4885,37302533.0
3061,37443386.0
6229,
6292,
9486,16894061.0
2421,
7727,36416492.0
3177,29020861.0
7720,
6232,
8923,36636296.0
2410,
137,
3195,20819978.0
2864,25563443.0
6116,
6243,
9435,35207210.0
6239,
7525,35090363.0
6288,
6097,
3189,
6114,
6193,
1771,35660802.0
6231,
2408,
2766,
6144,
155,
145,
2397,
636,
1884,35411074.0
2388,
2525,30283029.0
641,
4019,36241352.0
160,
2426,
1819,29282469.0
4508,24882567.0
634,
7719,
6285,
2393,
638,32042038.0
6101,
164,
